name,label,description,bbox_str,beginPosition,timeResolution,endPosition,prefix
cmaq.amad.conus.metcro2d.gsw,gsw(watts/m**2),Levels 0-1 of CMAQ modelled solar radiation absorbed at ground,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.metcro2d.hfx,hfx(watts/m**2),Levels 0-1 of CMAQ modelled sensible heat flux,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.metcro2d.lai,lai(area/area),Levels 0-1 of CMAQ modelled leaf-area index,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.metcro2d.moli,moli(1/m),Levels 0-1 of CMAQ modelled inverse of Monin-Obukhov length,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.metcro2d.pbl,pbl(m),Levels 0-1 of CMAQ modelled PBL height,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.metcro2d.prsfc,prsfc(pascal),Levels 0-1 of CMAQ modelled surface pressure,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.metcro2d.q2,q2(kg/kg),Levels 0-1 of CMAQ modelled mixing ratio at 2 m,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.metcro2d.qfx,qfx(watts/m**2),Levels 0-1 of CMAQ modelled latent heat flux,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.metcro2d.radyni,radyni(m/s),Levels 0-1 of CMAQ modelled inverse of aerodynamic resistance,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.metcro2d.rc,rc(cm),Levels 0-1 of CMAQ modelled convective pcpn per met TSTEP,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.metcro2d.rgrnd,rgrnd(watts/m**2),Levels 0-1 of CMAQ modelled solar rad reaching sfc,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.metcro2d.rn,rn(cm),Levels 0-1 of CMAQ modelled nonconvec. pcpn per met TSTEP,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.metcro2d.rstomi,rstomi(m/s),Levels 0-1 of CMAQ modelled inverse of bulk stomatal resistance,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.metcro2d.seaice,seaice(fraction),Levels 0-1 of CMAQ modelled sea ice (fraction),-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.metcro2d.sltyp,sltyp(category),Levels 0-1 of CMAQ modelled soil texture type by USDA category,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.metcro2d.snocov,snocov(decimal),Levels 0-1 of CMAQ modelled snow cover,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.metcro2d.soim1,soim1(m**3/m**3),Levels 0-1 of CMAQ modelled volumetric soil moisture in top cm,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.metcro2d.soim2,soim2(m**3/m**3),Levels 0-1 of CMAQ modelled volumetric soil moisture in top m,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.metcro2d.soit1,soit1(k),Levels 0-1 of CMAQ modelled soil temperature in top cm,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.metcro2d.soit2,soit2(k),Levels 0-1 of CMAQ modelled soil temperature in top m,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.metcro2d.temp2,temp2(k),Levels 0-1 of CMAQ modelled temperature at 2 m,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.metcro2d.tempg,tempg(k),Levels 0-1 of CMAQ modelled skin temperature at ground,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.metcro2d.ustar,ustar(m/s),Levels 0-1 of CMAQ modelled cell averaged friction velocity,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.metcro2d.veg,veg(decimal),Levels 0-1 of CMAQ modelled vegetation coverage (decimal),-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.metcro2d.wbar,wbar(g/m**3),Levels 0-1 of CMAQ modelled avg. liquid water content of cloud,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.metcro2d.wdir10,wdir10(degrees),Levels 0-1 of CMAQ modelled wind direction at 10 m,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.metcro2d.wr,wr(m),Levels 0-1 of CMAQ modelled canopy moisture content,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.metcro2d.wspd10,wspd10(m/s),Levels 0-1 of CMAQ modelled wind speed at 10 m,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.metcro2d.wstar,wstar(m/s),Levels 0-1 of CMAQ modelled convective velocity scale,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.metcro2d.zruf,zruf(m),Levels 0-1 of CMAQ modelled surface roughness length,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.noy.noy,noy(ppmV),Levels 0-35 of CMAQ modelled Total reactive nitrogen,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag1.albedo_w294,albedo_w294(-),Levels 0-1 of CMAQ modelled surface albedo at the wavelength 294 nm,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag1.albedo_w303,albedo_w303(-),Levels 0-1 of CMAQ modelled surface albedo at the wavelength 303 nm,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag1.albedo_w310,albedo_w310(-),Levels 0-1 of CMAQ modelled surface albedo at the wavelength 310 nm,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag1.albedo_w316,albedo_w316(-),Levels 0-1 of CMAQ modelled surface albedo at the wavelength 316 nm,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag1.albedo_w333,albedo_w333(-),Levels 0-1 of CMAQ modelled surface albedo at the wavelength 333 nm,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag1.albedo_w381,albedo_w381(-),Levels 0-1 of CMAQ modelled surface albedo at the wavelength 381 nm,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag1.albedo_w607,albedo_w607(-),Levels 0-1 of CMAQ modelled surface albedo at the wavelength 607 nm,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag1.coszens,coszens(-),Levels 0-1 of CMAQ modelled cosine of solar zenith angle,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag1.etot_sfc_w294,etot_sfc_w294(watts/m**2),"Levels 0-1 of CMAQ modelled total downward irradiance at sfc, 294 nm",-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag1.etot_sfc_w303,etot_sfc_w303(watts/m**2),"Levels 0-1 of CMAQ modelled total downward irradiance at sfc, 303 nm",-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag1.etot_sfc_w310,etot_sfc_w310(watts/m**2),"Levels 0-1 of CMAQ modelled total downward irradiance at sfc, 310 nm",-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag1.etot_sfc_w316,etot_sfc_w316(watts/m**2),"Levels 0-1 of CMAQ modelled total downward irradiance at sfc, 316 nm",-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag1.etot_sfc_w333,etot_sfc_w333(watts/m**2),"Levels 0-1 of CMAQ modelled total downward irradiance at sfc, 333 nm",-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag1.etot_sfc_w381,etot_sfc_w381(watts/m**2),"Levels 0-1 of CMAQ modelled total downward irradiance at sfc, 381 nm",-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag1.etot_sfc_w607,etot_sfc_w607(watts/m**2),"Levels 0-1 of CMAQ modelled total downward irradiance at sfc, 607 nm",-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag1.jno2,jno2(1/min),Levels 0-1 of CMAQ modelled j-value for no2,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag1.jo3o1d,jo3o1d(1/min),Levels 0-1 of CMAQ modelled j-value for o3o1d,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag1.tau_aero_w294,tau_aero_w294(-),"Levels 0-1 of CMAQ modelled aerosol optical depth, 294 nm",-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag1.tau_aero_w303,tau_aero_w303(-),"Levels 0-1 of CMAQ modelled aerosol optical depth, 303 nm",-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag1.tau_aero_w310,tau_aero_w310(-),"Levels 0-1 of CMAQ modelled aerosol optical depth, 310 nm",-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag1.tau_aero_w316,tau_aero_w316(-),"Levels 0-1 of CMAQ modelled aerosol optical depth, 316 nm",-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag1.tau_aero_w333,tau_aero_w333(-),"Levels 0-1 of CMAQ modelled aerosol optical depth, 333 nm",-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag1.tau_aero_w381,tau_aero_w381(-),"Levels 0-1 of CMAQ modelled aerosol optical depth, 381 nm",-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag1.tau_aero_w607,tau_aero_w607(-),"Levels 0-1 of CMAQ modelled aerosol optical depth, 607 nm",-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag1.tauo3_top_w294,tauo3_top_w294(-),"Levels 0-1 of CMAQ modelled optical depth of o3 above model domain, 294 nm",-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag1.tauo3_top_w303,tauo3_top_w303(-),"Levels 0-1 of CMAQ modelled optical depth of o3 above model domain, 303 nm",-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag1.tauo3_top_w310,tauo3_top_w310(-),"Levels 0-1 of CMAQ modelled optical depth of o3 above model domain, 310 nm",-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag1.tauo3_top_w316,tauo3_top_w316(-),"Levels 0-1 of CMAQ modelled optical depth of o3 above model domain, 316 nm",-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag1.tauo3_top_w333,tauo3_top_w333(-),"Levels 0-1 of CMAQ modelled optical depth of o3 above model domain, 333 nm",-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag1.tauo3_top_w381,tauo3_top_w381(-),"Levels 0-1 of CMAQ modelled optical depth of o3 above model domain, 381 nm",-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag1.tauo3_top_w607,tauo3_top_w607(-),"Levels 0-1 of CMAQ modelled optical depth of o3 above model domain, 607 nm",-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag1.tau_tot_w294,tau_tot_w294(-),"Levels 0-1 of CMAQ modelled total optical depth, 294 nm",-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag1.tau_tot_w303,tau_tot_w303(-),"Levels 0-1 of CMAQ modelled total optical depth, 303 nm",-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag1.tau_tot_w310,tau_tot_w310(-),"Levels 0-1 of CMAQ modelled total optical depth, 310 nm",-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag1.tau_tot_w316,tau_tot_w316(-),"Levels 0-1 of CMAQ modelled total optical depth, 316 nm",-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag1.tau_tot_w333,tau_tot_w333(-),"Levels 0-1 of CMAQ modelled total optical depth, 333 nm",-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag1.tau_tot_w381,tau_tot_w381(-),"Levels 0-1 of CMAQ modelled total optical depth, 381 nm",-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag1.tau_tot_w607,tau_tot_w607(-),"Levels 0-1 of CMAQ modelled total optical depth, 607 nm",-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag1.toc,toc(du),Levels 0-1 of CMAQ modelled total ozone column,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag2.acrolein_saprc99,acrolein_saprc99(1/min),Levels 0-35 of CMAQ modelled photolysis rates for acrolein_saprc99,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag2.cl2_iupac04,cl2_iupac04(1/min),Levels 0-35 of CMAQ modelled photolysis rates for c2cho_saprc99,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag2.c2cho_saprc99,c2cho_saprc99(1/min),Levels 0-35 of CMAQ modelled photolysis rates for ccho_r_saprc99,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag2.ccho_r_saprc99,ccho_r_saprc99(1/min),Levels 0-35 of CMAQ modelled photolysis rates for cl2_iupac04,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag2.cooh_saprc99,cooh_saprc99(1/min),Levels 0-35 of CMAQ modelled photolysis rates for cooh_saprc99,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag2.fmcl_iupac04,fmcl_iupac04(1/min),Levels 0-35 of CMAQ modelled photolysis rates for fmcl_iupac04,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag2.h2o2_saprc99,h2o2_saprc99(1/min),Levels 0-35 of CMAQ modelled photolysis rates for h2o2_saprc99,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag2.hcho_m_saprc99,hcho_m_saprc99(1/min),Levels 0-35 of CMAQ modelled photolysis rates for hcho_m_saprc99,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag2.hcho_r_saprc99,hcho_r_saprc99(1/min),Levels 0-35 of CMAQ modelled photolysis rates for hcho_r_saprc99,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag2.hno3_iupac04,hno3_iupac04(1/min),Levels 0-35 of CMAQ modelled photolysis rates for hno3_iupac04,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag2.ho2no2_iupac04,ho2no2_iupac04(1/min),Levels 0-35 of CMAQ modelled photolysis rates for ho2no2_iupac04,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag2.hocl_iupac04,hocl_iupac04(1/min),Levels 0-35 of CMAQ modelled photolysis rates for hocl_iupac04,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag2.hono_iupac04,hono_iupac04(1/min),Levels 0-35 of CMAQ modelled photolysis rates for hono_iupac04,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag2.mgly_iupac04,mgly_iupac04(1/min),Levels 0-35 of CMAQ modelled photolysis rates for mgly_iupac04,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag2.n2o5_iupac04,n2o5_iupac04(1/min),Levels 0-35 of CMAQ modelled photolysis rates for n2o5_iupac04,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag2.no2_saprc99,no2_saprc99(1/min),Levels 0-35 of CMAQ modelled photolysis rates for no2_saprc99,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag2.no3no2_saprc99,no3no2_saprc99(1/min),Levels 0-35 of CMAQ modelled photolysis rates for no3no2_saprc99,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag2.no3no_saprc99,no3no_saprc99(1/min),Levels 0-35 of CMAQ modelled photolysis rates for no3no_saprc99,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag2.ntr_iupac04,ntr_iupac04(1/min),Levels 0-35 of CMAQ modelled photolysis rates for ntr_iupac04,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag2.o3_o1d_iupac04,o3_o1d_iupac04(1/min),Levels 0-35 of CMAQ modelled photolysis rates for o3_o1d_iupac04,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag2.o3_o3p_iupac04,o3_o3p_iupac04(1/min),Levels 0-35 of CMAQ modelled photolysis rates for o3_o3p_iupac04,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag2.pacd_cb05,pacd_cb05(1/min),Levels 0-35 of CMAQ modelled photolysis rates for pacd_cb05,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.photdiag2.pan_iupac04,pan_iupac04(1/min),Levels 0-35 of CMAQ modelled photolysis rates for pan_iupac04,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.soilinp.ptype,ptype(integer),Levels 0-1 of CMAQ modelled no emission pulse type,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.soilinp.pulsedate,pulsedate(yyyyddd),Levels 0-1 of CMAQ modelled cmaq starting date for no emission pulse,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.soilinp.pulsetime,pulsetime(hhmmss),Levels 0-1 of CMAQ modelled cmaq starting time for no emission pulse,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.soilinp.rainfall01,,,-180 -90 180 90,,,now,cmaq
cmaq.amad.conus.soilinp.rainfall02,,,-180 -90 180 90,,,now,cmaq
cmaq.amad.conus.soilinp.rainfall03,,,-180 -90 180 90,,,now,cmaq
cmaq.amad.conus.soilinp.rainfall04,,,-180 -90 180 90,,,now,cmaq
cmaq.amad.conus.soilinp.rainfall05,,,-180 -90 180 90,,,now,cmaq
cmaq.amad.conus.soilinp.rainfall06,,,-180 -90 180 90,,,now,cmaq
cmaq.amad.conus.soilinp.rainfall07,,,-180 -90 180 90,,,now,cmaq
cmaq.amad.conus.soilinp.rainfall08,,,-180 -90 180 90,,,now,cmaq
cmaq.amad.conus.soilinp.rainfall09,,,-180 -90 180 90,,,now,cmaq
cmaq.amad.conus.soilinp.rainfall10,,,-180 -90 180 90,,,now,cmaq
cmaq.amad.conus.soilinp.rainfall11,,,-180 -90 180 90,,,now,cmaq
cmaq.amad.conus.soilinp.rainfall12,,,-180 -90 180 90,,,now,cmaq
cmaq.amad.conus.soilinp.rainfall13,,,-180 -90 180 90,,,now,cmaq
cmaq.amad.conus.soilinp.rainfall14,,,-180 -90 180 90,,,now,cmaq
cmaq.amad.conus.soilinp.rainfall15,,,-180 -90 180 90,,,now,cmaq
cmaq.amad.conus.soilinp.rainfall16,,,-180 -90 180 90,,,now,cmaq
cmaq.amad.conus.soilinp.rainfall17,,,-180 -90 180 90,,,now,cmaq
cmaq.amad.conus.soilinp.rainfall18,,,-180 -90 180 90,,,now,cmaq
cmaq.amad.conus.soilinp.rainfall19,,,-180 -90 180 90,,,now,cmaq
cmaq.amad.conus.soilinp.rainfall20,,,-180 -90 180 90,,,now,cmaq
cmaq.amad.conus.soilinp.rainfall21,,,-180 -90 180 90,,,now,cmaq
cmaq.amad.conus.soilinp.rainfall22,,,-180 -90 180 90,,,now,cmaq
cmaq.amad.conus.soilinp.rainfall23,,,-180 -90 180 90,,,now,cmaq
cmaq.amad.conus.soilinp.rainfall24,,,-180 -90 180 90,,,now,cmaq
cmaq.amad.conus.b3gts_s.ald2,ald2(gm/s),Levels 0-1 of CMAQ modelled CMAQ modeled biogenic emissions of Acetaldehyde,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.b3gts_s.aldx,aldx(gm/s),Levels 0-1 of CMAQ modelled CMAQ modeled biogenic emissions of Propionaldehyde and higher aldehydes,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.b3gts_s.co,co(gm/s),Levels 0-1 of CMAQ modelled CMAQ modeled biogenic emissions of Carbon Monoxide,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.b3gts_s.eth,eth(gm/s),Levels 0-1 of CMAQ modelled CMAQ modeled biogenic emissions of Ethene,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.b3gts_s.etha,etha(gm/s),Levels 0-1 of CMAQ modelled CMAQ modeled biogenic emissions of Ethane,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.b3gts_s.etoh,etoh(gm/s),Levels 0-1 of CMAQ modelled CMAQ modeled biogenic emissions of Ethanol,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.b3gts_s.form,form(gm/s),Levels 0-1 of CMAQ modelled CMAQ modeled biogenic emissions of Formaldehyde,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.b3gts_s.iole,iole(gm/s),Levels 0-1 of CMAQ modelled CMAQ modeled biogenic emissions of Internal olefin carbon bond,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.b3gts_s.isop,isop(gm/s),Levels 0-1 of CMAQ modelled CMAQ modeled biogenic emissions of Isoprene,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.b3gts_s.meoh,meoh(gm/s),Levels 0-1 of CMAQ modelled CMAQ modeled biogenic emissions of Methanol,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.b3gts_s.no,no(gm/s),Levels 0-1 of CMAQ modelled CMAQ modeled biogenic emissions of Nitrogen Monoxide,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.b3gts_s.ole,ole(gm/s),Levels 0-1 of CMAQ modelled CMAQ modeled biogenic emissions of Terminal olefin carbon bond,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.b3gts_s.par,par(gm/s),Levels 0-1 of CMAQ modelled CMAQ modeled biogenic emissions of Paraffin carbon bond,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
cmaq.amad.conus.b3gts_s.sesq,sesq(gm/s),Levels 0-1 of CMAQ modelled CMAQ modeled biogenic emissions of Sesquiterpene,-180 -90 180 90,2002-01-01T00:00:00Z,PT1H,2012-12-31T23:59:59Z,cmaq
